NPA,NXX,THOUSANDS,"COMPANY TYPE",OCN,COMPANY,LATA,RATECENTER,CLLI,STATE
201,209,2,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,209,3,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,209,4,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,209,5,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,209,6,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,209,7,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,209,8,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,209,9,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJBRDS5,NJ,
201,216,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,217,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,219,,WIRELESS,6630,"USA MOBILITY WIRELESS, INC.",224,JERSEYCITY,WAYNNJ081MD,NJ,
201,222,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,232,,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,234,,CLEC,7421,"AT&T - LOCAL",224,JERSEYCITY,RCPKNJ02XGY,NJ,
201,234,0,IPES,829J,"PAETEC ITEL, LLC",224,JERSEYCITY,NWRKNJMD7MD,NJ,
201,234,1,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,234,2,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,234,3,CLEC,7421,"AT&T - LOCAL",224,JERSEYCITY,RCPKNJ02XGY,NJ,
201,234,4,IPES,515J,"IP HORIZON LLC",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,234,5,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,234,6,CLEC,7421,"AT&T - LOCAL",224,JERSEYCITY,RCPKNJ02XGY,NJ,
201,234,7,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,234,8,IPES,829J,"PAETEC ITEL, LLC",224,JERSEYCITY,NBWKNJNBXKX,NJ,
201,234,9,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,238,,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,0,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,1,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,2,CLEC,4948,"CABLEVISION LIGHTPATH, INC. - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,238,3,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,4,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,5,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,6,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,7,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,8,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,238,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,239,,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,240,,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,241,,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,241,0,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,241,1,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,241,2,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,241,3,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,241,4,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,241,5,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,241,6,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,241,7,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,241,8,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,241,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,253,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,253,0,CLEC,4948,"CABLEVISION LIGHTPATH, INC. - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,253,1,IPES,829J,"PAETEC ITEL, LLC",224,JERSEYCITY,NWRKNJ10DS6,NJ,
201,253,2,RBOC,9206,"VERIZON NEW JERSEY, INC.",224,JERSEYCITY,JRCYNJJODS5,NJ,
201,253,3,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,253,4,IPES,829J,"PAETEC ITEL, LLC",224,JERSEYCITY,NWRKNJMD7MD,NJ,
201,253,5,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,253,6,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,253,7,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,253,8,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,253,9,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,268,,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,268,0,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,268,1,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,268,2,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,268,3,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,268,4,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,268,5,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,268,6,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,JERSEYCITY,NBWKNJ17DS1,NJ,
201,268,7,CLEC,7229,"MCIMETRO ACCESS TRANSMISSION SERVICES LLC",224,JERSEYCITY,NBWKNJ17DS1,NJ,
201,268,8,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,268,9,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMH,NJ,
201,273,,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,273,0,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,273,1,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,273,2,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
201,273,3,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,273,4,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,273,5,CLEC,7142,"TELEPORT COMMUNICATIONS AMERICA, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,273,6,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,273,7,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,273,8,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,273,9,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,275,,PCS,6623,"OMNIPOINT COMMUNICATIONS, INC. - NJ",224,JERSEYCITY,WAYNNJAWCMS,NJ,
201,275,0,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,275,1,CLEC,118F,"BANDWIDTH.COM CLEC, LLC - NJ",224,JERSEYCITY,NOCLLIKNOWN,NJ,
201,275,2,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,275,3,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,275,4,WIRELESS,6391,"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - NJ",224,JERSEYCITY,NBWKNJ17QMD,NJ,
201,275,5,WIRELESS,4036,"NEW CINGULAR WIRELESS PCS, LLC - DC",224,JERSEYCITY,RCPKNJ02GT1,NJ,
